name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212624936 b,1833,1.87 Earths,13.976,2021
EPIC 212624936 c,1833,5.9 Earths,13.976,2021
EPIC 211822797 b,607,4.35 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212624936 b,1833,1.87 Earths,13.976,2021
EPIC 212624936 c,1833,5.9 Earths,13.976,2021
EPIC 211822797 b,607,4.35 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212624936 b,1833,1.87 Earths,13.976,2021
EPIC 212624936 c,1833,5.9 Earths,13.976,2021
EPIC 211822797 b,607,4.35 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212624936 b,1833,1.87 Earths,13.976,2021
EPIC 212624936 c,1833,5.9 Earths,13.976,2021
EPIC 211822797 b,607,4.35 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212624936 b,1833,1.87 Earths,13.976,2021
EPIC 212624936 c,1833,5.9 Earths,13.976,2021
EPIC 211822797 b,607,4.35 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212624936 b,1833,1.87 Earths,13.976,2021
EPIC 212624936 c,1833,5.9 Earths,13.976,2021
EPIC 211822797 b,607,4.35 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212624936 b,1833,1.87 Earths,13.976,2021
EPIC 212624936 c,1833,5.9 Earths,13.976,2021
EPIC 211822797 b,607,4.35 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212624936 b,1833,1.87 Earths,13.976,2021
EPIC 212624936 c,1833,5.9 Earths,13.976,2021
EPIC 211822797 b,607,4.35 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212624936 b,1833,1.87 Earths,13.976,2021
EPIC 212624936 c,1833,5.9 Earths,13.976,2021
EPIC 211822797 b,607,4.35 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212624936 b,1833,1.87 Earths,13.976,2021
EPIC 212624936 c,1833,5.9 Earths,13.976,2021
EPIC 211822797 b,607,4.35 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212624936 b,1833,1.87 Earths,13.976,2021
EPIC 212624936 c,1833,5.9 Earths,13.976,2021
EPIC 211822797 b,607,4.35 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.79 Earths,14.611,2019
EPIC 212297394 c,1365,5.77 Earths,14.611,2016
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,2.13 Earths,12.488,2019
EPIC 212587672 c,1044,5.99 Earths,12.488,2016
EPIC 212624936 b,1833,1.87 Earths,13.976,2021
EPIC 212624936 c,1833,5.9 Earths,13.976,2021
EPIC 212737443 b,1097,7.2 Earths,14.81,2019
EPIC 212737443 c,1097,7.7 Earths,14.81,2019
EPIC 220492298 b,2037,0.937 Earths,13.991,2021
EPIC 220554210 c,1619,2.79 Earths,14.21,2019
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 220674823 c,798,5.8 Earths,12.101,2016
EPIC 228836835 b,490,1.37 Earths,16.77,2021
EPIC 246851721 b,1216,3 Jupiters,11.237,2018
EPIC 248847494 b,1800,13 Jupiters,12.353,2018
EPIC 249893012 b,1048,8.75 Earths,11.429,2020
EPIC 249893012 c,1048,14.67 Earths,11.429,2020
EPIC 249893012 d,1048,10.18 Earths,11.429,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
Epsilon Eridani b,10,0.78 Jupiters,3.71548,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
FU Tauri b,435,16 Jupiters,15.2412,2008
G 264-012 b,52,2.5 Earths,13.078,2021
G 264-012 c,52,3.75 Earths,13.078,2021
G 9-40 b,91,4.76 Earths,13.821,2019
EPIC 249893012 c,1048,14.67 Earths,11.429,2020
EPIC 249893012 d,1048,10.18 Earths,11.429,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
Epsilon Eridani b,10,0.78 Jupiters,3.71548,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
FU Tauri b,435,16 Jupiters,15.2412,2008
G 264-012 b,52,2.5 Earths,13.078,2021
G 264-012 c,52,3.75 Earths,13.078,2021
G 9-40 b,91,4.76 Earths,13.821,2019
EPIC 249893012 c,1048,14.67 Earths,11.429,2020
EPIC 249893012 d,1048,10.18 Earths,11.429,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
Epsilon Eridani b,10,0.78 Jupiters,3.71548,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
FU Tauri b,435,16 Jupiters,15.2412,2008
G 264-012 b,52,2.5 Earths,13.078,2021
G 264-012 c,52,3.75 Earths,13.078,2021
G 9-40 b,91,4.76 Earths,13.821,2019
EPIC 249893012 c,1048,14.67 Earths,11.429,2020
EPIC 249893012 d,1048,10.18 Earths,11.429,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
Epsilon Eridani b,10,0.78 Jupiters,3.71548,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
FU Tauri b,435,16 Jupiters,15.2412,2008
G 264-012 b,52,2.5 Earths,13.078,2021
G 264-012 c,52,3.75 Earths,13.078,2021
G 9-40 b,91,4.76 Earths,13.821,2019
GJ 163 b,49,10.6 Earths,11.79,2013
GJ 163 c,49,6.8 Earths,11.79,2013
GJ 163 d,49,29.4 Earths,11.79,2013
GJ 179 b,40,0.82 Jupiters,11.963,2009
GJ 180 b,39,6.49 Earths,10.914,2014
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 163 b,49,10.6 Earths,11.79,2013
GJ 163 c,49,6.8 Earths,11.79,2013
GJ 163 d,49,29.4 Earths,11.79,2013
GJ 179 b,40,0.82 Jupiters,11.963,2009
GJ 180 b,39,6.49 Earths,10.914,2014
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 317 c,50,1.64396 Jupiters,12.4,2018
GJ 328 b,67,2.3 Jupiters,9.99,2013
GJ 3293 b,66,23.54 Earths,11.945,2015
GJ 3293 c,66,21.09 Earths,11.945,2015
GJ 3293 d,66,7.6 Earths,11.945,2017
GJ 3293 e,66,3.28 Earths,11.945,2017
GJ 3323 b,18,2.02 Earths,12.57,2017
GJ 3323 c,18,2.31 Earths,12.57,2017
GJ 3341 b,77,6.6 Earths,12.062,2015
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 433 c,30,32.422 Earths,9.81,2014
GJ 433 d,30,5.223 Earths,9.81,2020
GJ 436 b,32,22.1 Earths,10.67,2004
GJ 480 b,46,13.2 Earths,11.49,2020
GJ 486 b,26,2.82 Earths,11.39,2021
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 667 C f,24,2.7 Earths,10.602,2013
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 687 c,15,16 Earths,9.15,2020
GJ 720 A b,51,13.64 Earths,9.84,2021
GJ 740 b,36,2.96 Earths,9.22,2021
GJ 832 b,16,0.68 Jupiters,8.66,2008
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 9066 b,15,30.9 Earths,12.71,2020
GJ 9066 c,15,0.22528 Jupiters,12.71,2020
GJ 9689 b,100,9.65 Earths,11.297,2020
GJ 96 b,39,19.66 Earths,9.4,2018
GJ 9827 b,97,4.91 Earths,10.37,2017
GJ 9827 c,97,0.84 Earths,10.37,2017
GJ 9827 d,97,4.04 Earths,10.37,2017
Gl 378 b,49,13.02 Earths,10.03,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.62,2018
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-21 b,904,4.87 Jupiters,11.459,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-34 b,813,3.33 Jupiters,10.403,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011
HAT-P-37 b,1274,1.169 Jupiters,13.427,2011
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
HAT-P-39 b,2274,0.599 Jupiters,12.282,2012
HAT-P-3 b,439,0.65 Jupiters,11.856,2007
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-34 b,813,3.33 Jupiters,10.403,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011
HAT-P-37 b,1274,1.169 Jupiters,13.427,2011
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
HAT-P-39 b,2274,0.599 Jupiters,12.282,2012
HAT-P-3 b,439,0.65 Jupiters,11.856,2007
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-34 b,813,3.33 Jupiters,10.403,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011
HAT-P-37 b,1274,1.169 Jupiters,13.427,2011
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
HAT-P-39 b,2274,0.599 Jupiters,12.282,2012
HAT-P-3 b,439,0.65 Jupiters,11.856,2007
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-34 b,813,3.33 Jupiters,10.403,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011
HAT-P-37 b,1274,1.169 Jupiters,13.427,2011
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
HAT-P-39 b,2274,0.599 Jupiters,12.282,2012
HAT-P-3 b,439,0.65 Jupiters,11.856,2007
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-41 b,1136,1.19 Jupiters,11.365,2012
HAT-P-42 b,1322,1.044 Jupiters,12.125,2012
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HAT-P-44 c,1135,4 Jupiters,13.225,2014
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015
HAT-P-41 b,1136,1.19 Jupiters,11.365,2012
HAT-P-42 b,1322,1.044 Jupiters,12.125,2012
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HAT-P-44 c,1135,4 Jupiters,13.225,2014
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015
HAT-P-41 b,1136,1.19 Jupiters,11.365,2012
HAT-P-42 b,1322,1.044 Jupiters,12.125,2012
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HAT-P-44 c,1135,4 Jupiters,13.225,2014
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015
